115.000000   0.000000   0.000000
110.000000   0.000000   0.000000
105.000000   0.000000   0.000000
100.000000   0.000000   0.000000
 95.000000   0.000000   0.000000
 90.000000   0.000000   0.000000
 85.000000   0.000000   0.000000
 80.000000   0.000000   0.000000
 75.000000   0.000000   0.000000
 70.000000   0.000001   0.000000
 65.000000   0.000002   0.000000
 60.000000   0.000003   0.000001
 55.000000   0.000006   0.000002
 50.000000   0.000011   0.000005
 47.500000   0.000017   0.000011
 45.000000   0.000023   0.000020
 42.500000   0.000032   0.000036
 40.000000   0.000046   0.000061
 37.500000   0.000067   0.000102
 35.000000   0.000098   0.000156
 32.500000   0.000144   0.000218
 30.000000   0.000212   0.000294
 27.500000   0.000311   0.000386
 25.000000   0.000459   0.000498
 24.000000   0.000601   0.000579
 23.000000   0.000704   0.000608
 22.000000   0.000826   0.000631
 21.000000   0.000969   0.000631
 20.000000   0.001137   0.000620
 19.000000   0.001333   0.000595
 18.000000   0.001559   0.000545
 17.000000   0.001824   0.000486
 16.000000   0.002133   0.000419
 15.000000   0.002495   0.000359
 14.000000   0.002919   0.000315
 13.000000   0.003416   0.000281
 12.000000   0.003997   0.000257
 11.000000   0.004676   0.000226
 10.000000   0.005382   0.000173
  9.000000   0.006090   0.000127
  8.000000   0.006867   0.000098
  7.000000   0.007718   0.000081
  6.000000   0.008648   0.000076
  5.000000   0.009660   0.000074
  4.000000   0.010762   0.000076
  3.000000   0.011957   0.000079
  2.000000   0.013252   0.000086
  1.000000   0.014653   0.000090
  0.000000   0.016163   0.000091
