0 115.0000 0.000000 0.000000
1 110.0000 0.000000 0.000000
2 105.0000 0.000000 0.000000
3 100.0000 0.000000 0.000000
4 95.0000 0.000000 0.000000
5 90.0000 0.000000 0.000000
6 85.0000 0.000000 0.000000
7 80.0000 0.000001 0.000000
8 75.0000 0.000002 0.000000
9 70.0000 0.000004 0.000000
10 65.0000 0.000008 0.000001
11 60.0000 0.000016 0.000003
12 55.0000 0.000029 0.000008
13 50.0000 0.000054 0.000025
14 47.5000 0.000042 0.000028
15 45.0000 0.000058 0.000051
16 42.5000 0.000081 0.000089
17 40.0000 0.000116 0.000152
18 37.5000 0.000167 0.000254
19 35.0000 0.000244 0.000389
20 32.5000 0.000359 0.000544
21 30.0000 0.000529 0.000734
22 27.5000 0.000778 0.000966
23 25.0000 0.001148 0.001246
24 24.0000 0.000601 0.000579
25 23.0000 0.000704 0.000608
26 22.0000 0.000826 0.000631
27 21.0000 0.000969 0.000631
28 20.0000 0.001137 0.000620
29 19.0000 0.001333 0.000595
30 18.0000 0.001559 0.000545
31 17.0000 0.001824 0.000486
32 16.0000 0.002133 0.000419
33 15.0000 0.002495 0.000359
34 14.0000 0.002919 0.000315
35 13.0000 0.003416 0.000281
36 12.0000 0.003997 0.000257
37 11.0000 0.004676 0.000226
38 10.0000 0.005382 0.000173
39 9.0000 0.006090 0.000127
40 8.0000 0.006867 0.000098
41 7.0000 0.007718 0.000081
42 6.0000 0.008648 0.000076
43 5.0000 0.009660 0.000074
44 4.0000 0.010762 0.000076
45 3.0000 0.011957 0.000079
46 2.0000 0.013252 0.000086
47 1.0000 0.014653 0.000090
48 0.0000 0.016163 0.000091
