 0	1.985835e-01
 1	1.985588e-01
 2	1.984844e-01
 3	1.983620e-01
 4	1.981873e-01
 5	1.979641e-01
 6	1.976916e-01
 7	1.973689e-01
 8	1.969967e-01
 9	1.965750e-01
 10	1.961045e-01
 11	1.955754e-01
 12	1.950087e-01
 13	1.943875e-01
 14	1.937138e-01
 15	1.929764e-01
 16	1.922250e-01
 17	1.914032e-01
 18	1.905328e-01
 19	1.896133e-01
 20	1.886373e-01
 21	1.876172e-01
 22	1.865430e-01
 23	1.854162e-01
 24	1.842431e-01
 25	1.830155e-01
 26	1.817381e-01
 27	1.804084e-01
 28	1.790274e-01
 29	1.775943e-01
 30	1.761089e-01
 31	1.745714e-01
 32	1.729803e-01
 33	1.713366e-01
 34	1.696388e-01
 35	1.678876e-01
 36	1.660817e-01
 37	1.642213e-01
 38	1.623055e-01
 39	1.603340e-01
 40	1.583061e-01
 41	1.562210e-01
 42	1.540792e-01
 43	1.518782e-01
 44	1.496191e-01
 45	1.473003e-01
 46	1.449213e-01
 47	1.424807e-01
 48	1.399777e-01
 49	1.375453e-01
 50	1.347862e-01
 51	1.320902e-01
 52	1.293342e-01
 53	1.265069e-01
 54	1.236158e-01
 55	1.206551e-01
 56	1.176246e-01
 57	1.145238e-01
 58	1.108735e-01
 59	1.081091e-01
 60	1.048057e-01
 61	1.014047e-01
 62	9.794277e-02
 63	9.440745e-02
 64	9.079897e-02
 65	8.711783e-02
 66	8.336549e-02
 67	7.954321e-02
 68	7.565362e-02
 69	7.170007e-02
 70	6.768684e-02
 71	6.361961e-02
 72	5.950573e-02
 73	5.535403e-02
 74	5.117610e-02
 75	4.698594e-02
 76	4.280030e-02
 77	3.863969e-02
 78	3.452848e-02
 79	3.049531e-02
 80	2.657327e-02
 81	2.280025e-02
 82	1.921769e-02
 83	1.586951e-02
 84	1.279937e-02
 85	1.004449e-02
